swapping_probability_limit,assumed_effective_detuning_ev,assumed_collision_rate_hz,mixing_energy_limit_ev,assumed_vector_potential_difference_tesla_m,geometric_coupling_limit_per_m,assumed_brane_scale_ev,zero_separation_coupling_per_m,separation_is_constrained,conditional_separation_lower_bound_m,conditional_separation_lower_bound_fm
3.1e-11,1e-08,0.0,3.937003937127953e-14,2000000000.0,3.2640950706559003e-16,1000000000000.0,585829670963.7382,True,3.642114792863833e-14,36.42114792863833
3.1e-11,1e-08,0.0,3.937003937127953e-14,2000000000.0,3.2640950706559003e-16,1e+25,0.05858296709637381,True,1.9048476970728364e-14,19.048476970728363
3.1e-11,1e-08,0.0,3.937003937127953e-14,2000000000.0,3.2640950706559003e-16,1.22089e+28,4.798382089817577e-05,True,1.4923568061263546e-14,14.923568061263545
3.1e-11,1e-08,0.0,3.937003937127953e-14,2000000000000.0,3.2640950706559003e-19,1000000000000.0,585829670963.7382,True,4.043022584200216e-14,40.43022584200216
3.1e-11,1e-08,0.0,3.937003937127953e-14,2000000000000.0,3.2640950706559003e-19,1e+25,0.05858296709637381,True,2.3057554884092203e-14,23.0575548840922
3.1e-11,1e-08,0.0,3.937003937127953e-14,2000000000000.0,3.2640950706559003e-19,1.22089e+28,4.798382089817577e-05,True,1.8932645974627382e-14,18.93264597462738
3.1e-11,1.0,0.0,3.937003937127953e-06,2000000000.0,3.2640950706559e-08,1000000000000.0,585829670963.7382,True,2.5730273493001427e-14,25.730273493001427
3.1e-11,1.0,0.0,3.937003937127953e-06,2000000000.0,3.2640950706559e-08,1e+25,0.05858296709637381,True,8.357602535091467e-15,8.357602535091466
3.1e-11,1.0,0.0,3.937003937127953e-06,2000000000.0,3.2640950706559e-08,1.22089e+28,4.798382089817577e-05,True,4.2326936256266465e-15,4.232693625626646
3.1e-11,1.0,0.0,3.937003937127953e-06,2000000000000.0,3.2640950706559e-11,1000000000000.0,585829670963.7382,True,2.9739351406365266e-14,29.739351406365262
3.1e-11,1.0,0.0,3.937003937127953e-06,2000000000000.0,3.2640950706559e-11,1e+25,0.05858296709637381,True,1.2366680448455305e-14,12.366680448455304
3.1e-11,1.0,0.0,3.937003937127953e-06,2000000000000.0,3.2640950706559e-11,1.22089e+28,4.798382089817577e-05,True,8.241771538990483e-15,8.241771538990482
3.1e-11,2000.0,0.0,0.007874007874255906,2000000000.0,6.5281901413118e-05,1000000000000.0,585829670963.7382,True,2.1318911344012097e-14,21.318911344012097
3.1e-11,2000.0,0.0,0.007874007874255906,2000000000.0,6.5281901413118e-05,1e+25,0.05858296709637381,True,3.946240386102137e-15,3.946240386102137
3.1e-11,2000.0,0.0,0.007874007874255906,2000000000.0,6.5281901413118e-05,1.22089e+28,4.798382089817577e-05,False,,
3.1e-11,2000.0,0.0,0.007874007874255906,2000000000000.0,6.5281901413118e-08,1000000000000.0,585829670963.7382,True,2.5327989257375933e-14,25.327989257375933
3.1e-11,2000.0,0.0,0.007874007874255906,2000000000000.0,6.5281901413118e-08,1e+25,0.05858296709637381,True,7.955318299465975e-15,7.955318299465974
3.1e-11,2000.0,0.0,0.007874007874255906,2000000000000.0,6.5281901413118e-08,1.22089e+28,4.798382089817577e-05,True,3.830409390001153e-15,3.830409390001153
