model,parameter_1,parameter_2,primary_value,secondary_value
compact_S1_KK,3e-05,1,0.006577566011279882,1.172557646530254e-38
compact_S1_KK,1e-06,1,0.19732698033839646,3.517672939590762e-37
compact_S1_KK,1e-09,1,197.32698033839642,3.517672939590762e-34
compact_S1_KK,1.3155132022559761e-19,1,1500000000000.0,2.6739928824418468e-24
compact_S1_KK,1e-22,1,1973269803383964.2,3.517672939590761e-21
synthetic_state_transfer,0.0,9,0.0,0.0
synthetic_state_transfer,0.25,9,2.115604924853734e-07,0.71826171875
synthetic_state_transfer,0.5,9,0.003906249999999993,0.9921875
synthetic_state_transfer,0.75,9,0.28173806968950743,0.7182617187500002
synthetic_state_transfer,1.0,9,1.0,2.999519565323715e-32
