model,parameter_1,parameter_2,primary_value,secondary_value
relativistic_cruise,0.1,1000.0,42.252141516732614,4.5277625537362355e+17
relativistic_cruise,0.5,1000.0,7.355153754341237,1.3903791002172627e+19
relativistic_cruise,0.9,1000.0,2.056673818193941,1.163130610261932e+20
relativistic_cruise,0.99,1000.0,0.6050934781580932,5.4723513623675535e+20
relativistic_cruise,0.999,1000.0,0.1900518219014768,1.920304764816345e+21
relativistic_cruise,0.9999,1000.0,0.060059083451267085,6.265442182169367e+21
alcubierre_slice,0.1,100.0,-3.3618220948952493e+47,-2.9378420732376603e+43
alcubierre_slice,1.0,100.0,-3.361929419695439e+46,-3.009056817684755e+41
alcubierre_slice,10.0,100.0,-3.372661804343451e+45,-3.009621083555505e+39
alcubierre_slice,100.0,100.0,-6.9044131421064276e+44,-4.521592657988974e+37
morris_thorne_throat,1.0,1e-06,-9.630907773444846e+42,179751.0357475433
morris_thorne_throat,10.0,1e-06,-9.630907773444845e+40,1797.510357475433
morris_thorne_throat,100.0,1e-06,-9.630907773444845e+38,17.97510357475433
morris_thorne_throat,1000.0,1e-06,-9.630907773444846e+36,0.1797510357475433
morris_thorne_throat,10000.0,1e-06,-9.630907773444846e+34,0.001797510357475433
